date,value
2019-02-25,226
2019-02-26,280
2019-02-27,297
2019-02-28,281
2019-03-01,343
2019-03-02,300
2019-03-03,318
2019-03-04,189
2019-03-05,177
2019-03-06,221
2019-03-07,297
2019-03-08,352
2019-03-09,391
2019-03-10,358
2019-03-11,219
2019-03-12,313
2019-03-13,324
2019-03-14,381
2019-03-15,268
2019-03-16,404
2019-03-17,394
2019-03-18,227
2019-03-19,288
2019-03-20,306
2019-03-21,353
2019-03-22,347
2019-03-23,437
2019-03-24,371
2019-03-25,238
2019-03-26,327
2019-03-27,281
2019-03-28,349
2019-03-29,329
2019-03-30,416
2019-03-31,365
2019-04-01,265
2019-04-02,345
2019-04-03,341
2019-04-04,374
2019-04-05,369
2019-04-06,437
2019-04-07,394
2019-04-08,277
2019-04-09,307
2019-04-10,399
2019-04-11,435
2019-04-12,332
2019-04-13,417
2019-04-14,443
2019-04-15,286
2019-04-16,342
2019-04-17,319
2019-04-18,359
2019-04-19,330
2019-04-20,391
2019-04-21,411
2019-04-22,252
2019-04-23,293
2019-04-24,337
2019-04-25,323
2019-04-26,332
2019-04-27,416
2019-04-28,394
2019-04-29,282
2019-04-30,374
2019-05-01,473
2019-05-02,342
2019-05-03,337
2019-05-04,408
2019-05-05,375
2019-05-06,315
2019-05-07,313
2019-05-08,301
2019-05-09,343
2019-05-10,363
2019-05-11,438
2019-05-12,406
2019-05-13,296
2019-05-14,344
2019-05-15,303
2019-05-16,391
2019-05-17,399
2019-05-18,416
2019-05-19,410
2019-05-20,293
2019-05-21,367
2019-05-22,341
2019-05-23,366
2019-05-24,356
2019-05-25,412
2019-05-26,454
2019-05-27,325
2019-05-28,385
2019-05-29,367
2019-05-30,338
2019-05-31,380
2019-06-01,443
2019-06-02,435
2019-06-03,277
2019-06-04,319
2019-06-05,372
2019-06-06,441
2019-06-07,346
2019-06-08,418
2019-06-09,386
2019-06-10,317
2019-06-11,343
2019-06-12,321
2019-06-13,349
2019-06-14,328
2019-06-15,428
2019-06-16,418
2019-06-17,300
2019-06-18,320
2019-06-19,357
2019-06-20,429
2019-06-21,347
2019-06-22,460
2019-06-23,440
2019-06-24,217
2019-06-25,372
2019-06-26,256
2019-06-27,267
2019-06-28,271
2019-06-29,310
2019-06-30,322
2019-07-01,229
2019-07-02,243
2019-07-03,275
2019-07-04,281
2019-07-05,312
2019-07-06,370
2019-07-07,368
2019-07-08,217
2019-07-09,273
2019-07-10,275
2019-07-11,297
2019-07-12,296
2019-07-13,436
2019-07-14,390
2019-07-15,234
2019-07-16,257
2019-07-17,261
2019-07-18,281
2019-07-19,278
2019-07-20,376
2019-07-21,372
2019-07-22,234
2019-07-23,269
2019-07-24,285
2019-07-25,284
2019-07-26,324
2019-07-27,353
2019-07-28,377
2019-07-29,223
2019-07-30,267
2019-07-31,264
2019-08-01,316
2019-08-02,322
2019-08-03,414
2019-08-04,317
2019-08-05,249
2019-08-06,263
2019-08-07,297
2019-08-08,317
2019-08-09,368
2019-08-10,368
2019-08-11,355
2019-08-12,241
2019-08-13,317
2019-08-14,330
2019-08-15,395
2019-08-16,317
2019-08-17,379
2019-08-18,360
2019-08-19,261
2019-08-20,302
2019-08-21,276
2019-08-22,310
2019-08-23,391
2019-08-24,400
2019-08-25,401
2019-08-26,270
2019-08-27,330
2019-08-28,305
2019-08-29,383
2019-08-30,351
2019-08-31,386
2019-09-01,382
2019-09-02,290
2019-09-03,347
2019-09-04,323
2019-09-05,396
2019-09-06,361
2019-09-07,433
2019-09-08,450
2019-09-09,282
2019-09-10,382
2019-09-11,410
2019-09-12,369
2019-09-13,229
2019-09-14,286
2019-09-15,356
2019-09-16,298
2019-09-17,316
2019-09-18,309
2019-09-19,365
2019-09-20,328
2019-09-21,460
2019-09-22,399
2019-09-23,309
2019-09-24,377
2019-09-25,370
2019-09-26,359
2019-09-27,354
2019-09-28,469
2019-09-29,419
2019-09-30,313
2019-10-01,332
2019-10-02,337
2019-10-03,494
2019-10-04,335
2019-10-05,403
2019-10-06,412
2019-10-07,283
2019-10-08,376
2019-10-09,450
2019-10-10,300
2019-10-11,334
2019-10-12,455
2019-10-13,421
2019-10-14,315
2019-10-15,347
2019-10-16,381
2019-10-17,371
2019-10-18,340
2019-10-19,359
2019-10-20,384
2019-10-21,250
2019-10-22,353
2019-10-23,348
2019-10-24,405
2019-10-25,403
2019-10-26,455
2019-10-27,458
2019-10-28,274
2019-10-29,353
2019-10-30,346
2019-10-31,409
2019-11-01,398
2019-11-02,461
2019-11-03,448
2019-11-04,253
2019-11-05,369
2019-11-06,395
2019-11-07,418
2019-11-08,374
2019-11-09,488
2019-11-10,407
2019-11-11,319
2019-11-12,316
2019-11-13,354
2019-11-14,310
2019-11-15,369
2019-11-16,480
2019-11-17,462
2019-11-18,297
2019-11-19,327
2019-11-20,345
2019-11-21,400
2019-11-22,377
2019-11-23,471
2019-11-24,393
2019-11-25,263
2019-11-26,340
2019-11-27,313
2019-11-28,390
2019-11-29,351
2019-11-30,431
2019-12-01,429
2019-12-02,301
2019-12-03,341
2019-12-04,427
2019-12-05,328
2019-12-06,364
2019-12-07,461
2019-12-08,468
2019-12-09,288
2019-12-10,341
2019-12-11,377
2019-12-12,395
2019-12-13,421
2019-12-14,490
2019-12-15,468
2019-12-16,265
2019-12-17,323
2019-12-18,298
2019-12-19,369
2019-12-20,433
2019-12-21,445
2019-12-22,380
2019-12-23,293
2019-12-24,300
2019-12-25,354
2019-12-26,298
2019-12-27,409
2019-12-28,389
2019-12-29,341
2019-12-30,265
2019-12-31,243
